>NC_045512.2 Wuhan seafood market pneumonia virus isolate Wuhan-Hu-1, complete genome
>AY502927.1 SARS coronavirus TW4, complete genome
>JX163927.1 SARS coronavirus isolate Tor2/FP1-10851, complete genome
>JX163923.1 SARS coronavirus isolate Tor2/FP1-10912, complete genome
>JX163925.1 SARS coronavirus isolate Tor2/FP1-10895, complete genome
>AY502931.1 SARS coronavirus TW8, complete genome
>GU553363.1 SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00001, complete genome
>AY350750.1 SARS coronavirus PUMC01, complete genome
>AY485278.1 SARS coronavirus Sino3-11, complete genome
>AY559083.1 SARS coronavirus Sin3408, complete genome
>FJ882963.1 SARS coronavirus P2, complete genome
>AY559086.1 SARS coronavirus Sin849, complete genome
>AY283795.1 SARS coronavirus Sin2677, complete genome
>GU553365.1 SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00003, complete genome
>AY559088.1 SARS coronavirus SinP1, complete genome
>AY394850.2 SARS coronavirus WHU, complete genome
>AY559092.1 SARS coronavirus SinP5, complete genome
>AY394978.1 SARS coronavirus GZ-B, complete genome
>AY357076.1 SARS coronavirus PUMC03, complete genome
>AY595412.1 SARS coronavirus LLJ-2004, complete genome
>EU371563.1 SARS coronavirus BJ182-8, complete genome
>EU371561.1 SARS coronavirus BJ182b, complete genome
>EU371560.1 SARS coronavirus BJ182a, complete genome
>AY515512.1 SARS coronavirus HC/SZ/61/03, complete genome
>EU371564.1 SARS coronavirus BJ182-12, complete genome
>AY395002.1 SARS coronavirus LC5, complete genome
>AY395000.1 SARS coronavirus LC3, complete genome
>AY394999.1 SARS coronavirus LC2, complete genome
>MK211376.1 Coronavirus BtRs-BetaCoV/YN2018B, complete genome
>KT444582.1 SARS-like coronavirus WIV16, complete genome
>KJ473816.1 BtRs-BetaCoV/YN2013, complete genome
